MSZoning;Street;LotShape;Neighborhood;ExterQual;ExterCond;Foundation;BsmtQual;BsmtCond;BsmtExposure;Heating;CentralAir;KitchenQual;FireplaceQu;GarageFinish;GarageQual;SaleCondition;MSSubClass;LotFrontage;LotArea;OverallQual;OverallCond;YearBuilt;YearRemodAdd;MasVnrArea;BsmtFinSF1;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;Fireplaces;GarageArea;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea
3.0;1.0;0.0;8.0;2.0;4.0;2.0;2.0;3.0;3.0;1.0;1.0;3.0;4.0;1.0;4.0;4.0;0.07339052799999965;0.050382415745725995;-0.2654182675967216;-0.0896480261341616;1.2690098578520068;0.718274380180694;0.4384031032043644;-0.59788870008087;-0.9703313853137809;-0.28550406121847727;0.5123485861560948;-0.5926053768554158;0.9546745679844677;-0.11910392376470172;0.08284695250781399;-0.8172410260275329;-0.24287002311294137;0.7731479393081835;1.2366005288838708;0.1363614898359921;-0.2129381893127126;0.5915687567924948;-0.4542265848923592;-0.7395763709638608;-0.13862072644933257;-0.35224265458725246;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
3.0;1.0;3.0;7.0;3.0;4.0;1.0;1.0;3.0;3.0;1.0;1.0;3.0;5.0;3.0;5.0;4.0;-0.6324924198175486;0.27617296381673967;-0.17801341541565185;-0.8213698689297244;1.2690098578520068;-1.9888680079391903;-1.6862788138653269;-0.59788870008087;-0.9703313853137809;-0.28550406121847727;0.5056289837849703;-0.5994001047883921;-0.8028202330108783;-0.11910392376470172;-1.3956780859391806;-0.8172410260275329;-0.24287002311294137;-1.056955151193068;-0.7649448490250373;-1.1066400944885906;-0.2129381893127126;-0.9597839526153701;-2.251790001610663;1.792226389682557;-0.7150832256952275;2.2906443902490183;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
3.0;1.0;3.0;18.0;3.0;4.0;0.0;2.0;3.0;3.0;1.0;1.0;2.0;4.0;2.0;4.0;4.0;-0.16190378793918309;0.07860623425460271;-0.32464900253219126;-0.8213698689297244;1.2690098578520068;-1.1082313274664568;-1.6862788138653269;0.8615223978931641;0.2697307568316486;-0.28550406121847727;-0.9144469839793363;-0.7466192100028802;0.988822783029714;-0.11910392376470172;0.4586784784098242;1.1072297771985933;-0.24287002311294137;-1.056955151193068;1.2366005288838708;0.1363614898359921;-0.2129381893127126;2.14292146620036;-1.1164867910517342;-0.7395763709638608;-0.7150832256952275;3.9021608810028416;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
3.0;1.0;3.0;18.0;3.0;4.0;0.0;3.0;3.0;3.0;1.0;1.0;2.0;2.0;2.0;4.0;4.0;-0.16190378793918309;-0.20363195083416438;-0.529213550190014;-0.8213698689297244;0.37256531336241683;-1.5322415810274026;-1.6862788138653269;-0.59788870008087;-0.4952284907835461;-0.28550406121847727;0.5325073932694683;-0.0784709632602038;0.711083967328377;-0.11910392376470172;0.31177986168670346;-0.8172410260275329;-0.24287002311294137;0.7731479393081835;-0.7649448490250373;0.1363614898359921;-0.2129381893127126;0.5915687567924948;-0.7948175480600378;-0.7395763709638608;-0.7150832256952275;3.5476272530370005;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
3.0;1.0;3.0;5.0;3.0;4.0;2.0;3.0;3.0;3.0;1.0;1.0;3.0;5.0;2.0;4.0;0.0;-0.8677867357567313;0.3608444193433698;-0.08289090075476424;-0.8213698689297244;1.2690098578520068;0.03333473981301241;-0.6239378553304812;-0.59788870008087;0.9780263564753474;-0.28550406121847727;-1.2773055120200583;-0.37743899231116407;-0.8028202330108783;-0.11910392376470172;-1.2087162101097542;1.1072297771985933;-0.24287002311294137;-1.056955151193068;-0.7649448490250373;0.1363614898359921;-0.2129381893127126;-0.9597839526153701;0.35940738267487315;1.2364648080772458;-0.7150832256952275;-0.35224265458725246;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
3.0;1.0;1.0;8.0;2.0;4.0;2.0;2.0;3.0;0.0;1.0;1.0;2.0;2.0;0.0;4.0;4.0;0.07339052799999965;1.8284829818049586;0.11339808111144668;-0.0896480261341616;-0.5238792311271732;1.1096684603907978;0.9695735824717872;-0.59788870008087;-0.9703313853137809;-0.28550406121847727;0.25476382859632307;-0.8530699476195099;1.1914355256315092;-0.11910392376470172;0.06186143583308245;-0.8172410260275329;-0.24287002311294137;0.7731479393081835;1.2366005288838708;0.1363614898359921;-0.2129381893127126;0.5915687567924948;-0.35961798401244843;0.03231471459907141;-0.16744385141162732;-0.35224265458725246;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
4.0;1.0;3.0;9.0;3.0;2.0;0.0;3.0;3.0;3.0;1.0;1.0;2.0;5.0;2.0;4.0;4.0;-0.16190378793918309;-0.4858701359229315;-0.48867257619964555;-1.5530917117252874;2.1654544023415965;-1.5974739277290866;1.066150033247682;-0.59788870008087;0.6315063554188917;-0.28550406121847727;-1.140673597140527;-0.5994001047883921;0.012183832735668138;-0.11910392376470172;-0.712694906888827;1.1072297771985933;-0.24287002311294137;-1.056955151193068;-0.7649448490250373;0.1363614898359921;-0.2129381893127126;-0.9597839526153701;-1.1164867910517342;-0.7395763709638608;0.6684267724949204;-0.35224265458725246;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
3.0;1.0;0.0;14.0;3.0;2.0;1.0;2.0;3.0;3.0;1.0;1.0;2.0;4.0;0.0;4.0;4.0;-0.8677867357567313;0.5866349674143835;0.13004219657996954;-0.0896480261341616;0.37256531336241683;0.3268802999705902;-0.18934382683895348;0.6182872148974917;0.31113880727235715;1.1561674757894747;0.08005416694708664;0.8184331238926771;-0.8028202330108783;-0.11910392376470172;-0.20141140972264043;-0.8172410260275329;-0.24287002311294137;0.7731479393081835;-0.7649448490250373;0.1363614898359921;-0.2129381893127126;0.5915687567924948;0.472937703730766;1.390843025189832;-0.7150832256952275;-0.35224265458725246;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
3.0;1.0;3.0;21.0;2.0;4.0;2.0;2.0;3.0;0.0;1.0;1.0;2.0;5.0;0.0;4.0;5.0;-0.8677867357567313;0.53018733039663;-0.1425865551167289;1.373795659456964;-0.5238792311271732;1.1749008070924816;1.066150033247682;0.2128952432380378;-0.9703313853137809;-0.28550406121847727;2.0735362037140153;0.9860364129060942;-0.8028202330108783;-0.11910392376470172;-0.060236115728991936;-0.8172410260275329;-0.24287002311294137;0.7731479393081835;-0.7649448490250373;0.1363614898359921;-0.2129381893127126;-0.9597839526153701;-0.009566160756778725;0.5572006527818653;1.1584198968539312;-0.35224265458725246;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
3.0;1.0;3.0;19.0;3.0;4.0;1.0;3.0;3.0;1.0;1.0;1.0;3.0;5.0;2.0;4.0;4.0;0.6616263178479564;0.3608444193433698;-0.21306834017337878;-0.0896480261341616;-0.5238792311271732;-0.16236230029203946;-0.9136672076581663;-0.59788870008087;-0.5627889941341758;3.67909266555339;-1.2773055120200583;-0.5586317371905339;-0.8028202330108783;-0.11910392376470172;-1.1724684994897634;1.1072297771985933;-0.24287002311294137;-1.056955151193068;-0.7649448490250373;0.1363614898359921;-0.2129381893127126;-0.9597839526153701;-1.1164867910517342;-0.7395763709638608;-0.7150832256952275;3.7087789021123827;-0.1211014551294333;-0.276077669320495;-0.07104972932364481
